enter_threshold,exit_threshold,enter_run_windows,exit_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp,scope,segments
0.7,0.45,3,3,388,0.4329896907216495,0.0,0.0,0.0,0.44680851063829785,0.5531914893617021,168,208,12,0,same_patient,4
0.7,0.45,3,4,388,0.23711340206185566,0.0,0.0,0.0,0.24468085106382978,0.7553191489361702,92,284,12,0,same_patient,4
0.7,0.45,3,5,388,0.061855670103092786,0.0,0.0,0.0,0.06382978723404255,0.9361702127659575,24,352,12,0,same_patient,4
0.7,0.45,4,1,388,0.5025773195876289,0.0,0.0,0.0,0.5186170212765957,0.48138297872340424,195,181,12,0,same_patient,4
0.7,0.45,4,2,388,0.45618556701030927,0.0,0.0,0.0,0.47074468085106386,0.5292553191489362,177,199,12,0,same_patient,4
0.7,0.45,4,3,388,0.4329896907216495,0.0,0.0,0.0,0.44680851063829785,0.5531914893617021,168,208,12,0,same_patient,4
0.7,0.45,4,4,388,0.23711340206185566,0.0,0.0,0.0,0.24468085106382978,0.7553191489361702,92,284,12,0,same_patient,4
0.7,0.45,4,5,388,0.061855670103092786,0.0,0.0,0.0,0.06382978723404255,0.9361702127659575,24,352,12,0,same_patient,4
0.7,0.5,1,1,388,0.44072164948453607,0.044444444444444446,0.8333333333333334,0.08438818565400844,0.42819148936170215,0.5718085106382979,161,215,2,10,same_patient,4
0.7,0.5,1,2,388,0.38144329896907214,0.04032258064516129,0.8333333333333334,0.07692307692307693,0.3670212765957447,0.6329787234042553,138,238,2,10,same_patient,4
0.7,0.5,1,3,388,0.36597938144329895,0.03937007874015748,0.8333333333333334,0.07518796992481203,0.35106382978723405,0.648936170212766,132,244,2,10,same_patient,4
0.7,0.5,1,4,388,0.3556701030927835,0.03875968992248062,0.8333333333333334,0.07407407407407407,0.3404255319148936,0.6595744680851063,128,248,2,10,same_patient,4
0.7,0.5,1,5,388,0.30927835051546393,0.036231884057971016,0.8333333333333334,0.06944444444444445,0.2925531914893617,0.7074468085106383,110,266,2,10,same_patient,4
0.7,0.5,2,1,388,0.5128865979381443,0.0,0.0,0.0,0.5292553191489362,0.47074468085106386,199,177,12,0,same_patient,4
0.7,0.5,2,2,388,0.4484536082474227,0.0,0.0,0.0,0.4627659574468085,0.5372340425531915,174,202,12,0,same_patient,4
0.7,0.5,2,3,388,0.4484536082474227,0.0,0.0,0.0,0.4627659574468085,0.5372340425531915,174,202,12,0,same_patient,4
0.7,0.5,2,4,388,0.4484536082474227,0.0,0.0,0.0,0.4627659574468085,0.5372340425531915,174,202,12,0,same_patient,4
0.7,0.5,2,5,388,0.37371134020618557,0.0,0.0,0.0,0.38563829787234044,0.6143617021276596,145,231,12,0,same_patient,4
0.7,0.5,3,1,388,0.5283505154639175,0.0,0.0,0.0,0.5452127659574468,0.45478723404255317,205,171,12,0,same_patient,4
0.7,0.5,3,2,388,0.45618556701030927,0.0,0.0,0.0,0.47074468085106386,0.5292553191489362,177,199,12,0,same_patient,4
0.7,0.5,3,3,388,0.45618556701030927,0.0,0.0,0.0,0.47074468085106386,0.5292553191489362,177,199,12,0,same_patient,4
0.7,0.5,3,4,388,0.45618556701030927,0.0,0.0,0.0,0.47074468085106386,0.5292553191489362,177,199,12,0,same_patient,4
0.7,0.5,3,5,388,0.38144329896907214,0.0,0.0,0.0,0.39361702127659576,0.6063829787234043,148,228,12,0,same_patient,4
0.7,0.5,4,1,388,0.6726804123711341,0.0,0.0,0.0,0.6941489361702128,0.3058510638297872,261,115,12,0,same_patient,4
0.7,0.5,4,2,388,0.45618556701030927,0.0,0.0,0.0,0.47074468085106386,0.5292553191489362,177,199,12,0,same_patient,4
0.7,0.5,4,3,388,0.45618556701030927,0.0,0.0,0.0,0.47074468085106386,0.5292553191489362,177,199,12,0,same_patient,4
0.7,0.5,4,4,388,0.45618556701030927,0.0,0.0,0.0,0.47074468085106386,0.5292553191489362,177,199,12,0,same_patient,4
0.7,0.5,4,5,388,0.38144329896907214,0.0,0.0,0.0,0.39361702127659576,0.6063829787234043,148,228,12,0,same_patient,4
0.7,0.55,1,1,388,0.48195876288659795,0.03902439024390244,0.6666666666666666,0.07373271889400922,0.47606382978723405,0.523936170212766,179,197,4,8,same_patient,4
